authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
M. Hopkins,M. Hopkins,M. Hopkins,35529,N. E. B.,McAdams,J. M.,Adrain,,2009,"Heckethornia, a new genus of dimeropygid trilobites from the Lower Ordovician (Ibexian; Tulean and Blackhillsian) of the Great Basin, western USA",Canadian Journal of Earth Sciences,,46,,875,914,journal article,stated with evidence,English,,,,NA,2011-03-16 08:52:44,2011-03-16 09:42:37
J. Sessa,L. Eccles,,35561,G. D.,Harris,,,,1919,Pelecypoda of the St. Maurice and Claiborne stages,Bulletins of American Paleontology,,6,31,1,208,journal article,stated with evidence,English,,,,,2011-03-21 00:06:03,2011-03-21 00:06:03
M. Hopkins,M. Hopkins,,35642,J. D.,Loch,,,,2007,"Trilobite biostratigraphy and correlation of the Kindblade Formation (Lower Ordovician) of Carter and Kiowa Counties, Oklahoma",Oklahoma Geological Survey Bulletin,,149,,1,154,serial monograph,stated with evidence,English,,,,NA,2011-03-26 05:23:28,2011-03-26 05:23:28
W. Kiessling,U. Merkel,,35684,S.,Peng,L. E.,Babcock,,2001,"Cambrian of the Hunan-Guizhou region, south China",Palaeoworld,,13,,3,51,journal article,stated without evidence,English,,,,NA,2011-03-31 22:14:19,2011-03-31 22:14:19
M. Clapham,M. Clapham,,35709,V.,Verna,L.,Angiolini,"S. Crasquin, A. Nicora",2011,"Guadalupian brachiopods from western Taurus, Turkey",Rivista Italiana di Paleontologia e Stratigrafia,,117,1,,NA,journal article,stated with evidence,English,,,,NA,2011-04-03 02:32:20,2011-04-03 02:32:20
M. Clapham,M. Clapham,,35709,V.,Verna,L.,Angiolini,"S. Crasquin, A. Nicora",2011,"Guadalupian brachiopods from western Taurus, Turkey",Rivista Italiana di Paleontologia e Stratigrafia,,117,1,,,journal article,stated with evidence,English,,,,NA,2011-04-03 02:32:20,2011-04-03 02:32:20
M. Clapham,M. Clapham,,35766,T. C.,Lu,,,,1982,"Early Permian brachiopods from Gaoqiao, Mianchu, Sichuan Province",Acta Palaeontologica Sinica,,21,5,607,612,journal article,stated with evidence,Chinese,,,,NA,2011-04-08 11:38:13,2011-04-08 11:38:13
M. Clapham,M. Clapham,,35825,T. E.,Chen,Z. H.,Sun,,1982,"Discovery of Permian belemnoids in south China, with comments on the origin of Coleoidea",Acta Palaeontologica Sinica,,21,2,181,190,journal article,stated with evidence,Chinese,,,,NA,2011-04-14 10:50:28,2011-04-14 10:50:28
J. Sessa,L. Eccles,,35951,J.,Gardner,,,,1933,The Midway Group of Texas,"The University of Texas Bulletin, Publication Bureau of Economic Geology",,,3301,,,journal article,stated with evidence,English,,,,,2011-04-30 06:08:31,2011-04-30 06:08:31
J. P�lfy,J. P�lfy,,35973,A.,V�r�s,,,,2009,The Pliensbachian brachiopods of the Bakony Mountains (Hungary),"Geologica Hungarica, Series Palaeontologica",,58,,1,300,serial monograph,stated with evidence,English,,,,NA,2011-05-03 22:07:39,2011-05-03 22:07:39
L. Bulot,L. Bulot,L. Bulot,36160,W. M.,Gabb,,,,1877,Description of a collection of fossils made by Dr. Antonio Raimondi in Peru,Journal of the Academy of Natural Sciences of Philadelphia,,2,8,263,336,journal article,stated with evidence,English,,,fossil record,NA,2011-05-14 22:09:26,2011-05-14 22:12:22
J. P�lfy,A. Kocsis,,36177,B.,G�czy,C.,Meister,,1998,Les ammonites du Dom�rien de la montagne du Bakony (Hongrie),Revue de Pal�obiologie,,17,1,69,161,journal article,stated with evidence,French,,,,NA,2011-05-16 05:01:09,2011-05-16 05:01:09
M. Clapham,M. Clapham,,36343,T. K.,Huang,,,,1932,Late Permian Brachiopoda of southwestern China,"Palaeontologia Sinica, Series B",,9,1,1,138,serial monograph,stated with evidence,English,,,,NA,2011-06-06 14:07:56,2011-06-06 14:07:56
J. Sessa,L. Eccles,,36367,S.,Casadio,M.,Griffin,A. Parras,2005,"Camptonectes and Plicatula (Bivalvia, Pteriomorphia) from the Upper Maastrichtian of northrern Patagonia: palaeobiogeographic implications",Cretaceous Research,,26,,507,524,journal article,stated with evidence,English,,,,NA,2011-06-09 08:57:11,2011-06-09 08:57:11
J. Sessa,L. Eccles,,36367,S.,Casadio,M.,Griffin,A. Parras,2005,"Camptonectes and Plicatula (Bivalvia, Pteriomorphia) from the Upper Maastrichtian of northrern Patagonia: palaeobiogeographic implications",Cretaceous Research,,26,,507,524,journal article,stated with evidence,English,,,,,2011-06-09 08:57:11,2011-06-09 08:57:11
M. Clapham,M. Clapham,,36370,J. W.,Kirkby,,,,1859,On the Permian Chitonidae,Quarterly Journal of the Geological Society,,15,,607,626,journal article,stated with evidence,English,,,,NA,2011-06-09 12:27:34,2011-06-09 12:27:34
A. Hendy,A. Hendy,,36459,E. H.,Vokes,,,,1990,"Cenozoic Muricidae of the western Atlantic region, Part VIII - Murex ss, Haustellum, Chicoreus, and Hexaplex; additions and corrections",Tulane Studies in Geology and Paleontology,,23,1-3,1,96,journal article,stated with evidence,English,,,,NA,2011-06-21 00:55:23,2011-06-21 00:55:23
M. Hopkins,M. Hopkins,,36489,F. C.,Shaw,T. E.,Bolton,,2011,"Ordovician trilobites from the Romaine and Mingan Formations (Ibexian-Late Whiterockian), Mingan Islands, Quebec",Journal of Paleontology,,85,3,406,441,journal article,stated with evidence,English,,,,NA,2011-06-23 04:11:25,2011-06-23 04:11:25
M. Clapham,M. Clapham,,36523,Z. Y.,Yang,H. F.,Yin,"S. B. Wu, F. Q. Yang, M. H. Ding, G. R. Xu",1987,,Permian-Triassic Boundary Stratigraphy and Fauna of South China,,,,1,379,book/book chapter,stated with evidence,Chinese,,,,NA,2011-06-27 01:28:10,2011-06-27 01:28:10
N. Bonuso,N. Bonuso,N. Bonuso,36559,Z. Q.,Chen,J.,Tong,"Z. Liao, J. Chen",2010,Structural changes of marine communities over the Permian-Triassic transition: Ecologically assessing the end-Permian mass extinctiion and its aftermath,Global and Planetary Change,,73,,123,140,journal article,stated without evidence,English,,,,NA,2011-06-29 07:11:24,2011-06-29 07:21:45
M. Clapham,M. Clapham,,36582,Z. T.,Liao,,,,1979,Uppermost Carboniferous brachiopods from western Guizhou,Acta Palaeontologica Sinica,,18,6,527,546,journal article,stated with evidence,English,,,,NA,2011-07-01 00:57:52,2011-07-01 00:57:52
M. Uhen,M. Uhen,,36658,V.,Araujo Tavora,A. A. R.,dos Santos,R. N. Araujo,2010,Localidades fossiliferas da Formacao Pirabas (Mioceno Inferior),"Boletim do Museu Paraense Em�lio Goeldi Ci�ncias Naturais, Bel�m",,5,2,207,224,journal article,stated without evidence,English,,,,NA,2011-07-12 23:44:01,2011-07-12 23:44:01
M. Clapham,M. Clapham,,36698,M.,Bjerager,L.,Seidler,"L. Stemmerik, F. Surlyk",2006,Ammonoid stratigraphy and sedimentary evolution across the Permian�Triassic boundary in East Greenland,Geological Magazine,,143,5,635,656,journal article,stated with evidence,English,,,,NA,2011-07-16 04:55:37,2011-07-16 04:55:37
W. Kiessling,U. Merkel,,36753,H.,Nestor,P.,Copper,C. Stock,2010,,"Late Ordovician and Early Silurian stromatoporoid sponges from Anticosti Island, eastern Canada: Crossing the O/S mass extinction boundary",,,,1,163,book/book chapter,stated without evidence,English,,,,NA,2011-07-21 22:57:48,2011-07-21 22:57:48
P. Wagner,P. Wagner,M. Clapham,36929,B. F.,Shumard,,,,1858,"Notice of new fossils from the Permian strata of New Mexico and Texas, collected by Dr. George G. Shumard, geologist of the United States Government expedition for obtaining water by means of artesian wells along the 32nd parallel, under the direction of Capt John Pope, US Corps Topographic Engineers",Transactions of the Academy of Science of St. Louis,,1,,290,297,journal article,stated without evidence,English,,,,NA,2011-08-03 13:07:11,2012-09-27 08:58:22
P. Wagner,P. Wagner,,36931,E. B.,Branson,,,,1916,The Lower Embar of Wyoming and Its Fauna,The Journal of Geology,,24,7,639,664,journal article,stated without evidence,English,,,,NA,2011-08-03 13:08:51,2011-08-03 13:08:51
P. Wagner,P. Wagner,P. Wagner,36997,Y. T.,Pan,W.,Yu,,1993,,Permian Gastropods of China,,,,1,68,book/book chapter,stated with evidence,Chinese,,,,NA,2011-08-08 07:48:52,2013-07-13 12:23:33
P. Wagner,P. Wagner,M. Clapham,37124,A. D.,d'Orbigny,,,,1842,,Voyage dans l�Am�rique M�ridionale,,3,4,1,188,book/book chapter,stated without evidence,French,,,,NA,2011-08-17 11:31:06,2011-09-22 10:55:35
P. Wagner,P. Wagner,M. Clapham,37124,A. D.,d'Orbigny,,,,1842,,Voyage dans l�Am�rique M�ridionale,,3,4,1,188,book/book chapter,stated without evidence,French,,,,NA,2011-08-17 11:31:06,2011-09-22 10:55:35
M. Aberhan,S. Nurnberg,,37168,G. M.,El Qot,,,,2006,"Late Cretaceous macrofossils from Sinai, Egypt",Beringeria,,36,,3,163,serial monograph,stated with evidence,English,,,,NA,2011-08-23 00:00:05,2011-08-23 00:00:05
M. Aberhan,S. Nurnberg,,37311,T.,Kumagae,H.,Maeda,T. Komatsu,2011,"Paleoecology of Inoceramus amakusensis Nagao et Matsumoto, 1940 (Bivalvia) in a Late Cretaceous shallow clastic sea: The Himenoura Group, Kyushu, Japan",Cretaceous Research,,32,,738,749,journal article,stated without evidence,English,,,,NA,2011-08-30 22:36:32,2011-08-30 22:36:32
A. Miller,S. Kolbe,S. Kolbe,37343,A.,Tomasovych,,,,2006,"Brachiopod and bivalve ecology in the Late Triassic (Alps, Austria): onshore-offshore replacements caused by variations in sediment and nutrient supply",Palaios,,21,,344,368,journal article,stated without evidence,English,,"The collections from the Hochalm section, which are also described in this paper, are listed under reference 17562 (Tomasovych 2006).  Was not able to add this paper as a secondary reference for those collections because I lack the editing permissions.",,NA,2011-09-01 01:44:46,2011-09-01 09:28:10
A. Miller,S. Kolbe,,37370,D.,Balseiro,B. G.,Waisfield,N. E. Vaccari,2011,Paleoecological dynamics of Furongian (Late Cambrian) trilobite-dominated communities from northwestern Argentina,Palaios,,26,,484,499,journal article,stated without evidence,English,,,,NA,2011-09-02 00:29:22,2011-09-02 00:29:22
M. Clapham,M. Clapham,M. Clapham,37447,J. d. C.,Sowerby,,,,1827,"No. XCVI of the mineral conchology of Great Britain; or colored figures and descriptions of those remains of testaceous animals or shells, which have been preserved at various times and depths in the Earth",The Mineral Conchology of Great Britain,,6,,109,120,book/book chapter,stated without evidence,English,,"Issued May 1, 1827.  See Wright & Cleevely (1985) Authorship And Dates Of The Sowerbys' Mineral Conchology Of Great Britain. Bulletin of Zoological Nomenclature 42: 64-71.",,NA,2011-09-06 01:54:21,2011-09-06 03:01:58
M. Clapham,M. Clapham,,37450,J.,Sowerby,,,,1821,"No. LV of the mineral conchology of Great Britain; or colored figures and descriptions of those remains of testaceous animals or shells, which have been preserved at various times and depths in the Earth",The Mineral Conchology of Great Britain,,4,,9,16,book/book chapter,stated without evidence,English,,"Issued Dec 1, 1821. See Wright & Cleevely (1985) Authorship And Dates Of The Sowerbys' Mineral Conchology Of Great Britain. Bulletin of Zoological Nomenclature 42: 64-71.",,NA,2011-09-06 03:13:39,2011-09-06 03:13:39
A. Miller,S. Kolbe,,37454,S. T.,Turvey,,,,2005,Early Ordovician (Arenig) trilobite palaeoecology and palaeobiogeography of the South China Plate,Palaeontology,,48,3,519,547,journal article,stated without evidence,English,,,,NA,2011-09-06 05:24:28,2011-09-06 05:24:28
M. Clapham,M. Clapham,,37509,B.,Runnegar,,,,1965,The bivalves Megadesmus Sowerby and Astartila Dana from the Permian of eastern Australia,Journal of the Geological Society of Australia,,12,2,227,252,journal article,stated with evidence,English,,,,NA,2011-09-07 15:24:32,2011-09-07 15:24:32
M. Clapham,M. Clapham,P. Wagner,37779,A.,Sedgwick,,,,1829,"On the geological relations and internal structure of the Magnesian Limestone, and the lower portions of the New Red Sandstone Series in their range through Nottinghamshire, Derbyshire, Yorkshire, and Durham, to the southern extremity of Northumberland","Transactions of the Geological Society of London, series 2",,3,1,37,124,journal article,stated with evidence,English,,,,NA,2011-09-21 10:00:41,2015-11-24 15:03:40
P. Harnik,P. Harnik,,37793,P. G.,Harnik,,,,2011,Direct and indirect effects of biological factors on extinction risk in fossil bivalves,Proceedings of the National Academy of Sciences,,108,33,13594,13599,journal article,stated without evidence,English,10.1073/pnas.1100572108,,,,2011-09-22 00:11:18,2011-09-22 00:11:18
M. Clapham,M. Clapham,M. Clapham,37862,T.,Davidson,,,,1862,"On some Carboniferous Brachiopoda collected in India by A. Fleming, MD, and W. Purdon, Esq, FGS",Quarterly Journal of the Geological Society,,18,,25,35,journal article,stated without evidence,English,,,,NA,2011-09-26 10:37:59,2011-09-28 06:48:03
M. Aberhan,D. Wellmanns,S. Nurnberg,37866,R. L.,Squires,L. R.,Saul,,2009,"Cretaceous opine bivalves from the pacific slope of North America and palaeobiogeography of subfamily Opinae Chavan, 1969",Palaeontology,,52,6,1311,1347,journal article,stated with evidence,English,10.1111/j.1475-4983.2009.00905.x,,,NA,2011-09-26 20:01:32,2011-09-28 20:52:46
W. Kiessling,M. Domansky,,37885,L. E.,Holmer,L. E.,Popov,"S. P. Koneva, M. G. Bassett",2001,"Cambrian - early Ordovician brachiopods from Malyi Karatau, the western Balkhash region, and Tien Shan, Central Asia",Special Papers in Palaeontology,,65,,1,180,serial monograph,stated with evidence,English,,,,NA,2011-09-28 00:31:52,2011-09-28 00:31:52
W. Kiessling,U. Merkel,,37886,G. K.,Ergaliev,F. G.,Ergaliev,,2008,,"Agnostidy srednego i verkhnego Kembriya Aksayskogo Gosudarstvennogo Geologicheskogo Zakaznika v yushnom Kazakhstane (Kyrshabakty, Malyy Karatau) [Middle and Upper Cambrian Agnostida from the Aksai National Geological Reserve in southern Kazakhstan (Kyrshabakty River, Malyy Karatau Range)]",,,,1,359,book/book chapter,stated without evidence,Russian,,with English summary,,NA,2011-09-28 00:49:06,2011-09-28 00:49:06
M. Clapham,M. Clapham,M. Clapham,37889,T.,Thomson,,,,1814,"A geognostical sketch of the counties of Northumberland, Durham, and part of Cumberland",Annals of Philosophy,,4,24,410,419,journal article,none discussed,English,,,,NA,2011-09-28 02:32:31,2011-09-28 04:22:56
J. P�lfy,A. Kocsis,P. Wagner,38219,J.,Szab�,,,,1990,"Paleo�kol�gia, paleo(bio)geogr�fia, evol�ci� �s biokronol�gia bakonyi jura gastropod�k t�kr�ben",,,,,1,165,Ph.D. thesis,stated with evidence,English,,,,NA,2011-10-19 16:32:08,2015-11-17 16:27:49
W. Kiessling,U. Merkel,,38316,R. A.,Johns,,,,1994,Ordovician lithistid sponges of the Great Basin,Nevada Bureau of Mines and Geology Open-File Report,,94,1,1,156,serial monograph,stated without evidence,English,,,,NA,2011-10-25 22:27:46,2011-10-25 22:27:46
M. Clapham,M. Clapham,,38381,W.,Waagen,,,,1872,"On the occurrence of Ammonites, associated with Ceratites, and Goniatites in the Carboniferous deposits of the Salt Range",Memoirs of the Geological Survey of India,,9,4,351,358,journal article,stated without evidence,English,,,,NA,2011-10-30 09:45:02,2011-10-30 09:45:02
M. Clapham,M. Clapham,,38496,W. H.,Hudleston,,,,1883,"Notes on a collection of fossils and of rock-specimens from west Australia, north of the Gascoyne River",Quarterly Journal of the Geological Society,,39,,582,595,journal article,stated without evidence,English,,,,NA,2011-11-12 16:53:24,2011-11-12 16:53:24
M. Clapham,M. Clapham,M. Clapham,38506,J. W.,Salter,,,,1861,"On the fossils, from the high Andes, collected by David Forbes, Esq, FRS, FGS",Quarterly Journal of the Geological Society,,17,,62,73,journal article,stated without evidence,English,,,,NA,2011-11-13 15:29:32,2013-04-03 12:10:14
M. Clapham,M. Clapham,,38507,J. B.,Waterhouse,,,,1971,"The Permian brachiopod genus Terrakea Booker, 1930",Smithsonian Contributions to Paleobiology,,3,,347,361,serial monograph,stated with evidence,English,,,,NA,2011-11-13 17:02:49,2011-11-13 17:02:49
M. Clapham,M. Clapham,M. Clapham,38508,O. A.,Derby,,,,1876,Exploration of Lake Titicaca II. Notice of the Palaeozoic Fossils,Carboniferous fishes from the central western States,,3,,279,286,journal article,stated without evidence,English,,,,NA,2011-11-14 05:04:07,2013-04-03 08:36:27
M. Clapham,M. Clapham,,38574,F.,Frech,,,,1901,Die Dyas,Lethaea Geognostica oder Beschreibung und Abbildung der f�r die Gebirgs-Formationen bezeichnendsten Versteinerungen. I. Theil. Lethaea Palaeozoica,,2,3,453,578,journal article,stated with evidence,German,,,,NA,2011-11-21 18:14:56,2011-11-21 18:14:56
M. Clapham,M. Clapham,,38789,L.,Angiolini,M.,Balini,"E. Garzanti, A. Nicora, A. Tintori, S. Crasquin, G. Muttoni",2003,Permian climatic and paleogeographic changes in northern Gondwana: the Khuff Formation of interior Oman,"Palaeogeography, Palaeoclimatology, Palaeoecology",,191,,269,300,journal article,none discussed,English,,,,NA,2011-12-12 06:56:34,2011-12-12 06:56:34
W. Kiessling,U. Merkel,,38872,P. A.,Johnston,K. J.,Johnston,"C. J. Collom, W. G. Powell, R. J. Pollock",2009,"Palaeontology and depositional environments of ancient brine seeps in the Middle Cambrian Burgess Shale at The Monarch, British Columbia, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology",,277,,86,105,journal article,stated without evidence,English,,,,NA,2011-12-16 19:50:36,2011-12-16 19:50:36
M. Clapham,M. Clapham,M. Clapham,39112,Z. Q.,Chen,Z. T.,Liao,,2009,"Brachiopod faunas across the Wuchiapingian-Changhsingian (Late Permian) boundary at the stratotype section and subsurface of Changxing area, South China","Neues Jahrbuch f�r Geologie und Pal�ontologie, Abhandlungen",,254,3,315,335,journal article,stated with evidence,English,,,,NA,2012-01-05 04:26:42,2013-04-03 11:31:52
M. Clapham,M. Clapham,,39464,J. F.,Dear,,,,1971,Strophomenoid brachiopods from the higher Permian faunas of the Back Creek Group in the Bowen Basin,Geological Survey of Queensland Publication,,347,,1,22,serial monograph,stated with evidence,English,,,,NA,2012-01-16 10:07:10,2012-01-16 10:07:10
M. Clapham,M. Clapham,M. Clapham,39465,R.,Etheridge Jr.,,,,1880,"On a collection of fossils from the Bowen River coalfield and the limestone of the Fanning River, north Queensland",Proceedings of the Royal Physical Society of Edinburgh,,5,,263,328,journal article,stated without evidence,English,,,,NA,2012-01-16 10:39:16,2012-08-03 15:49:52
P. Mannion,P. Mannion,,39762,J. E.,Martin,,,,2007,"A new species of the durophagous mosasaur Globidens (Squamata: Mosasauridae) from the Late Cretaceous Pierre Shale Group of central South Dakota, USA",Geological Society of America Special Paper,,427,,177,198,journal article,stated with evidence,English,,,,NA,2012-01-26 03:25:41,2012-01-26 03:25:41
M. Clapham,M. Clapham,,39785,C.,Xu,,,,1978,Lamellibranchiata,Palaeontological Atlas of Southwest China - Sichuan Volume,,2,,315,364,book/book chapter,stated with evidence,Chinese,,,,NA,2012-01-27 08:56:17,2012-01-27 08:56:17
J. Alroy,B. Mamo,,40104,R. K.,Pabian,W. J.,Rushlau,,2002,"Taphonomic Analysis and Systematic Descriptions of Some Late Pennsylvanian and Early Permian Crinoids from Southeastern Nebraska, Eastern Kansas and Southwestern Iowa",Geological Survey Papers,,20,,,,serial monograph,stated without evidence,English,,"From the Conservation and Survey Division,   Institute of Agriculture and Natural Resources, University of Nebraska, Lincoln",,NA,2012-02-13 12:28:22,2012-02-13 12:28:22
M. Clapham,M. Clapham,M. Clapham,40142,B. V.,Koczyrkevicz,,,,1984,Sistematika i novye taksony pozdnepermskikh Terebratulid (Brachiopoda) yuzhnogo Primor'ya,Sistematikha i Evolyutsiya Bespozvonochnykh Dal'nego Vostoka,,,,9,22,book/book chapter,stated with evidence,Russian,,,,NA,2012-02-14 10:46:38,2013-04-04 02:16:59
W. Kiessling,U. Merkel,,40493,Y.,Duan,,,,2004,"New polymerid trilobites and the first record of Erixanium from Upper Cambrian in western Hunan, China",Acta Palaeontologica Sinica,,43,1,63,71,journal article,stated without evidence,English,,,,NA,2012-03-01 01:54:42,2012-03-01 01:54:42
M. Clapham,M. Clapham,M. Clapham,40514,B. V.,Koczyrkevicz,,,,1976,Permskie Geterelazminidy (Brachiopoda) yuzhnogo Primor'ya,Morfologiya i Sistematika Iskopaemykh Bespozvonochnykh Dal'nego Vostoka,,,,73,78,book/book chapter,stated with evidence,Russian,,,,NA,2012-03-01 15:43:33,2013-04-07 06:09:10
W. Kiessling,U. Merkel,,40548,J. L.,Yuan,Y. L.,Zhao,"Z. Z. Wang, Z. Zhen, X. Y. Chen",1997,"A preliminary study on Lower-Middle Cambrian boundary and trilobite fauna at Balang, Taijiang, Guizhou, south China",Acta Palaeontologica Sinica,,36,4,494,524,journal article,stated without evidence,Chinese,,with English summary,,NA,2012-03-03 02:19:12,2012-03-03 02:19:12
W. Kiessling,U. Merkel,,40788,Y. H.,Lu,H. L.,Lin,,1989,The Cambrian trilobites of western Zhejiang,"Palaeontologia Sinica, new series B",,25,,1,287,serial monograph,stated without evidence,Chinese,,with English summary,,NA,2012-03-13 20:29:00,2012-03-13 20:29:00
M. Clapham,M. Clapham,,40791,L.,Angiolini,L.,Carabelli,,2010,"Upper Permian brachiopods from the Nesen Formation, north Iran",Special Papers in Palaeontology,,84,,41,90,journal article,stated with evidence,English,,,,NA,2012-03-14 11:32:45,2012-03-14 11:32:45
M. Clapham,M. Clapham,M. Clapham,40822,B. V.,Koczyrkevicz,,,,1979,Novye Permskie Rhynchopora (Brachiopoda) yuzhnogo Primor'ya i nekotorye voprosy ikh morfologii,Iskopaemye Bespozvonochnye Dal'nego Vostoka (Dannye Po Novym Nakhodkam),,,,41,49,book/book chapter,stated with evidence,Russian,,,,NA,2012-03-17 02:54:07,2013-04-07 06:09:38
W. Kiessling,U. Merkel,P. Wagner,40918,S.,Peng,L. E.,Babcock,H. Lin,2004,,"Polymerid trilobites from the Cambrian of northwestern Hunan, China, Volume 1: Corynexochida, Lichida and Asaphida",,,,1,333,book/book chapter,stated without evidence,English,10.1016/B978-008045041-4.50017-1,,,NA,2012-03-27 22:43:51,2015-11-18 05:52:22
M. Clapham,M. Clapham,M. Clapham,40982,V. I.,Ustritsky,,,,1960,"Permskie brakhiopody Pay-Khoya (Inarticulata, Strophomenidae i Chonetidae)",Trudy Nauchno-Issledovatel'skogo Instituta Geologii Arktiki,,111,,93,124,journal article,stated with evidence,Russian,,,,NA,2012-03-30 11:33:39,2013-04-07 06:11:51
J. P�lfy,A. Kocsis,,41022,F.,Garc�a Joral,A.,Goy,,2004,"Caracterizaci�n de Choffatirhynchia nov. gen. (Brachiopoda, Rhynchonellida) en el Toarciense (Jur�sico) de la Cordillera Ib�rica (Espa�a)",Bolet�n de la Real Sociedad Espa�ola de Historia Natural. Secci�n geol�gica,,99,,237,250,journal article,stated with evidence,Spanish,,,,NA,2012-04-04 16:25:57,2012-04-04 16:25:57
W. Kiessling,U. Merkel,,41110,S.,Peng,,,,1992,"Upper Cambrian biostratigraphy and trilobite faunas of the Cili-Taoyuan area, northwestern Hunan, China",Memoir of the Association of Australasian Palaeontologists,,13,,1,119,serial monograph,stated without evidence,English,,,,NA,2012-04-10 19:22:35,2012-04-10 19:22:35
W. Kiessling,U. Merkel,,41224,J.,Yang,S.,Yu,"G. Liu, N. Su, M. He, J. Shang, H. Zhang, H. Zhu, Y. Li, G. Yan",1993,,"Cambrian stratigraphy, lithofacies, paleogeography and trilobite faunas of East Qinling-Dabashan Mountains, China",,,,1,246,book/book chapter,stated without evidence,English,,,,NA,2012-04-21 00:11:04,2012-04-21 00:11:04
M. Hopkins,M. Hopkins,,41503,S. R.,Westrop,J. D.,Eoff,,2012,"Late Cambrian (Furongian; Paibian, Steptoean) agnostoid arthropods from the Cow Head Group, western Newfoundland",Journal of Paleontology,,86,2,201,237,journal article,stated with evidence,English,,,,NA,2012-05-14 23:46:44,2012-05-14 23:46:44
W. Kiessling,U. Merkel,,41857,F. A.,Sundberg,Y. L.,Zhao,"J. L. Yuan, J. Lin",2011,"Detailed trilobite biostratigraphy across the proposed GSSP for stage 5 (""Middle Cambrian"" boundary) at the Wuliu-Zengjiayan section, Guizhou, China",Bulletin of Geosciences,,86,3,423,464,journal article,stated without evidence,English,,,,NA,2012-06-01 17:15:32,2012-06-01 17:15:32
W. Kiessling,U. Merkel,,41902,S. C.,Peng,L. E.,Babcock,"J. X. Zuo, H. L. Lin, X. J. Zhu, X. F. Yang, Y. P. Qi, G. Bagnoli, L. W. Wang",2009,"Proposed GSSP for the base of Cambrian Stage 9, coinciding with the first appearance of Agnostotes orientalis, at Duibian, Zhejiang, China","Science in China, D Earth Sciences",,52,4,434,451,journal article,stated without evidence,English,,,,NA,2012-06-05 18:09:16,2012-06-05 18:09:16
W. Kiessling,U. Merkel,,41908,S. C.,Peng,L. E.,Babcock,"J. X. Zuo, H. L. Lin, X. J. Zhu, X. F. Yang, R. A. Robison, Y. P. Qi, G. Bagnoli, Y. Chen",2009,"The Global Boundary Stratotype Section and Point (GSSP) of the Guzhangian Stage (Cambrian) in the Wuling Mountains, northwestern Hunan, China",Episodes,,32,1,41,55,journal article,stated without evidence,English,,,,NA,2012-06-05 23:42:33,2012-06-05 23:42:33
M. Clapham,K. Badyrka ,M. Clapham,41985,K. A.,Badyrka,M. E.,Clapham,S. Lopez,2013,"Paleoecology of brachiopod communities during the late Paleozoic ice age in Bolivia (Copacabana Formation, Pennsylvanian-Early Permian)","Palaeogeography, Palaeoclimatology, Palaeoecology",,387,,56,65,journal article,stated with evidence,English,,,,NA,2012-06-12 02:19:28,2013-08-28 04:58:26
W. Kiessling,U. Merkel,,42044,T. R.,Lin,,,,1991,"Middle Cambrian stratigraphy and trilobite fauna of Taoyuan, NW Hunan",Acta Palaeontologica Sinica,,30,3,360,376,journal article,stated without evidence,Chinese,,with English summary,,NA,2012-06-18 18:34:33,2012-06-18 18:34:33
M. Aberhan,D. Wellmanns,S. Nurnberg,42160,W.,Ayoub-Hannaa,F. T.,F�rsich,,2012,"Apricardia noncarinata n. sp. (Bivalvia, Requieniidae) from the Cenomanian (Upper Cretaceous) of central-east Sinai, Egypt","Neues Jahrbuch f�r Geologie und Pal�ontologie, Abhandlungen",,263,1,75,84,journal article,stated with evidence,English,10.1127/0077-7749/2012/0212,,,NA,2012-06-29 00:07:54,2013-03-01 23:22:24
M. Clapham,M. Clapham,P. Wagner,42301,T.,Davidson,,,,1858,,A monograph of British Permian Brachiopoda,,,,1,51,book,stated without evidence,English,,,,NA,2012-07-15 03:39:44,2015-11-22 13:36:07
M. Clapham,M. Clapham,,42303,N. J.,Winch,,,,1817,Observations on the geology of Northumberland and Durham,Transactions of the Geological Society of London,,4,,1,101,journal article,none discussed,English,,,,NA,2012-07-15 10:33:08,2012-07-15 10:33:08
M. Clapham,M. Clapham,M. Clapham,42305,R.,Howse,,,,1848,A catalogue of the fossils of the Permian system of the counties of Northumberland and Durham,Transactions of the Tyneside Naturalists' Field Club,,1,,219,264,journal article,stated with evidence,English,,,,NA,2012-07-15 13:51:53,2012-07-16 04:41:34
A. Hendy,A. Hendy,,42393,J.,Gibson-Smith,W.,Gibson-Smith,,2012,"Unpublished notes on Caribbean collection of Jack and Winifred Gibson-Smith, Naturhistorisches Museum Basel",,,,,,,unpublished,stated without evidence,English,,,,NA,2012-07-21 14:51:22,2012-07-21 14:51:22
A. Hendy,A. Hendy,,42393,J.,Gibson-Smith,W.,Gibson-Smith,,2012,"Unpublished notes on Caribbean collection of Jack and Winifred Gibson-Smith, Naturhistorisches Museum Basel",,,,,,,unpublished,stated without evidence,English,,,,,2012-07-21 14:51:22,2012-07-21 14:51:22
